"","Hogwarts.House","First.Name","Last.Name","Birthday","Best.Hand","Arithmancy","Herbology","Defense.Against.the.Dark.Arts","Divination","Muggle.Studies","Ancient.Runes","History.of.Magic","Transfiguration","Potions","Care.of.Magical.Creatures","Charms","Flying"
"17","Slytherin","Deanna","Dowdell","07/11/1998","Left",24191,-1.841579255,5.757891596,-3.098,-551.554687,416.352506,3.908678598,1050.508994,9.19190936,-0.076311613,-244.74776,-6.14
"18","Ravenclaw","Elizebeth","Wong","07/08/2000","Left",44980,6.297962245,7.634072566,2.706,610.7418719,579.7902759,5.949460773,1045.586957,6.481538377,0.206523418,-229.14767,-12.93
"19","Slytherin","Ramon","Crain","11/05/2000","Left",18788,-5.019345348,6.567405858,-5.95,-638.7465294,353.9120682,5.43056039,1084.243192,12.38260035,-0.79206649,-247.90805,-73.55
"20","Hufflepuff","Silvia","Landers","06/05/2001","Right",62423,4.655361065,-4.625982107,3.154,-224.9534682,389.9618443,3.161405377,1036.28281,1.218011028,1.081165,-246.07797,-13.68
"21","Slytherin","Susanne","Linn","09/09/1998","Right",78380,-3.234020181,2.432234848,-5.75,-195.9457221,488.0300489,1.099770239,1014.08573,6.218585709,-0.072469796,-253.23161,8.12
"22","Gryffindor","Ivory","Boykin","01/12/1998","Right",62103,-6.242092221,-4.19360183,3.989,-310.6957141,620.7264328,-3.644745975,954.1444761,5.950372993,0.395650512,-253.1816,150.95
"23","Ravenclaw","Germaine","Theriault","16/12/1999","Right",60297,3.117286693,6.266233089,5.025,778.083678,625.2413151,5.777496252,1056.820016,7.524604451,0.118932476,-230.11765,-52.11
"24","Ravenclaw","April","Nason","12/10/1997","Left",36061,2.28268122,3.844056911,5.774,567.4903579,639.9150659,6.305969718,1063.880288,11.84648298,-0.332271251,-230.67354,-9.5
"25","Ravenclaw","Laverne","France","22/10/2000","Left",70297,5.799115019,3.641204415,6.553,-224.5899149,602.2540397,6.465689581,1034.042921,5.427973937,0.430127981,-231.32398,-28.3
"26","Ravenclaw","Jade","Trent","08/03/2000","Right",47023,6.362543899,7.318349523,4.151,338.0887111,585.9564973,2.640869356,1031.010473,3.521843805,-1.454783958,-230.34207,38.38
"27","Gryffindor","Ezekiel","Vallejo","16/07/1998","Right",53984,-9.142445007,-3.249733425,2.001,-639.3567787,540.3457343,-4.498215866,909.1788845,0.453181809,-0.739415381,-258.26397,164.28
"28","Hufflepuff","Vonda","Wingate","25/07/2001","Left",75380,2.248675051,-4.365651336,5.779,-599.8677205,376.9592877,3.05589574,1075.811003,2.897141959,-0.358385863,-247.12644,-70.1
"29","Slytherin","Marcel","Pederson","07/01/2000","Left",35532,-4.789794035,5.670845227,-5.053,-253.7214743,441.0927313,4.720936061,1031.916541,9.867057226,0.271218702,-247.76412,-29.83
"30","Hufflepuff","Danette","Amaral","18/08/2000","Right",43848,2.73238425,-6.028701385,6.491,-578.7665124,495.74797,5.279894194,1062.593313,6.085998864,-0.05342714,-245.16318,-30.26
"31","Ravenclaw","Louis","Ligon","01/09/2000","Right",56567,5.945242266,3.768472156,6.567,254.6250632,495.74797,6.411162439,1038.513598,7.92488597,-0.52488587,-230.40814,7.5
"32","Ravenclaw","Elaine","Sargent","02/09/2000","Right",43932,6.310939144,6.375685776,4.571,615.6385204,623.105908,3.883734592,1058.485415,7.117852619,-0.181914326,-228.55339,17.77
"33","Ravenclaw","Dwayne","Hsu","08/12/2000","Right",47693,5.705586854,6.043609362,3.817,164.8091679,569.8705453,6.380304931,1038.119337,7.206193441,1.631872186,-231.30052,-0.2
"34","Gryffindor","Dorian","Hinojosa","06/07/2000","Left",48767,-6.016942799,-7.238168386,3.719,-504.8586206,595.5018319,-2.956450918,948.6346701,5.833108639,-0.332014406,-255.69201,180.33
"35","Gryffindor","William","Sawyer","22/01/1998","Left",35883,-4.261773905,-6.153795605,5.646,-224.5899149,590.8549617,-4.673774408,958.061881,5.209027456,1.919089817,-252.95587,223.69
"36","Ravenclaw","Aida","Li","15/01/2000","Left",50144,3.083534172,3.384737437,6.022,338.2588982,619.8069895,5.684107497,1037.50864,8.529552847,1.53392479,-232.67039,3.33
"37","Hufflepuff","Stanton","Bruner","27/12/1999","Right",57332,7.014453189,-4.353660561,5.745,-567.0417982,406.6395241,4.326196782,1050.434949,3.35823453,-1.774237716,-242.69758,3.57
"38","Ravenclaw","Mari","Stanford","02/06/2000","Right",23965,3.37469733,3.130693774,5.295,621.1700959,587.8296938,4.392980166,1075.062138,9.806624642,1.07688361,-231.36591,3.19
"39","Ravenclaw","Keshia","Nava","04/09/1997","Left",56174,2.8938774,4.355323936,5.261,509.5649339,607.5562453,4.737096487,1048.532443,7.207069116,-0.05342714,-232.81988,-19.56
"40","Ravenclaw","Hubert","Upchurch","26/07/1998","Left",60148,4.736440446,4.661034436,5.174,729.9511098,600.5200065,5.488248323,1071.827866,7.37956552,-0.348190802,-230.63179,-51.3
"41","Ravenclaw","Devin","Daly","26/08/1998","Left",66291,5.994374127,4.678284283,5.445,338.4768277,622.5426758,5.223309875,1026.011317,5.638023193,0.458988891,-231.49588,11.23
"42","Ravenclaw","Earnest","Roberge","26/02/1998","Left",49635,6.502551154,4.448788925,6.584,784.3753731,620.9283835,6.651802479,1058.605957,4.447574546,-0.303735613,-230.17111,-92.35
"43","Hufflepuff","Scott","Chew","30/05/2001","Right",34567,1.517351701,-6.308518451,4.843,-287.0863977,390.3491403,6.781839565,1041.996341,7.16422527,-0.520691817,-245.94672,-29.27
"44","Ravenclaw","Fabiola","Squires","01/09/2001","Right",39080,5.803000776,6.538800108,4.054,778.299869,604.0394874,4.971761465,1064.737092,7.646739319,-0.784281708,-228.24594,-9.64
"45","Ravenclaw","Rudolph","Zeigler","03/03/2000","Left",70479,2.892026812,8.179170271,3.228,949.495717,641.4689258,5.163372817,1050.919385,6.571042868,-0.27308829,-230.32443,-58.29
"46","Gryffindor","Kendrick","Lahr","29/01/1997","Right",58920,-3.649967552,-5.043707152,5.412,-504.5421973,639.8108527,-6.200932433,1030.096946,2.500071735,-0.78517149,-252.1845,216.97
"47","Hufflepuff","Emilio","Donahue","15/08/1999","Right",71095,6.709313674,-2.52856575,5.237,-572.0697708,401.4323237,2.982157024,1056.207466,1.362621489,0.075987952,-243.0045,-16
"48","Ravenclaw","Olga","Bostick","06/09/1998","Right",52583,4.355136961,4.440201813,5.484,263.6761784,592.3133567,4.964894747,1029.085785,5.997208122,0.407684788,-232.53675,9.44
"49","Ravenclaw","Paris","Musgrove","31/03/1999","Right",21109,4.092896708,5.423094676,3.965,725.9141126,573.2191254,6.812977004,1082.750316,10.98340289,-1.269593181,-228.87277,-33.66
"50","Slytherin","Evangeline","Roy","24/09/1999","Right",47370,-3.930535296,5.261843246,-5.018,-372.3273885,418.636909,3.453939999,1042.755762,8.14335156,1.934809356,-249.07364,-38.21
"51","Gryffindor","Kelley","Reddy","27/08/1999","Right",64978,-5.604327741,-5.02092918,3.417,-695.2012027,578.7482047,-6.393793228,924.4562343,0.008351824,-0.490079506,-257.07289,204
"52","Slytherin","Carrol","Hacker","05/02/1997","Right",47872,-2.969000171,6.09936402,-3.3,-687.2218381,373.7285016,5.919966234,1043.716867,5.950372993,-0.564894442,-246.98398,-75.5
"53","Gryffindor","Christi","Rodrigues","14/10/1997","Right",62970,-6.028381788,-3.149946336,4.045,-415.3796784,586.9457132,-5.438609548,952.4367909,1.164265201,0.843935633,-253.578,153.88
"54","Hufflepuff","Bryce","Coughlin","02/09/1998","Right",48743,5.348453765,-4.598252877,3.154,-475.2009136,408.4424874,6.132751691,1045.533335,5.950372993,-0.048705663,-243.1742,-9.69
"55","Slytherin","Ben","Munger","21/06/1998","Right",49635,-6.797860748,6.455152046,-5.629,-632.6272128,336.6360753,7.35260648,1072.6933,11.41382223,-0.678400616,-249.64377,-131.52
"56","Hufflepuff","Eddie","Blackwell","14/07/1997","Right",52079,4.483544286,-5.711661684,5.37,-468.4732614,394.1912682,2.9971804,1051.818187,3.348138096,0.547253037,-245.75151,3.09
"57","Hufflepuff","Samual","Bustos","07/04/1998","Right",62346,5.347334182,-3.962759026,4.518,-527.5647052,361.2519152,2.704929212,1062.161043,1.502450399,-1.380779051,-245.54509,-26.1
"58","Ravenclaw","Louann","Orton","15/02/1998","Left",26893,2.505395875,7.038327522,1.683,258.7775247,559.0017987,8.508591556,1053.389921,11.91924725,0.164575271,-231.84272,-28.8
"59","Hufflepuff","Peggy","Brackett","10/01/2001","Left",62957,3.447519607,-4.62402227,5.946,-803.7933944,378.2261942,7.209157235,1080.567159,7.325852815,0.391128843,-244.7018,-78.16
"60","Hufflepuff","Carroll","Call","20/12/1998","Left",46474,4.876613089,-4.012453774,3.307,-415.1034159,342.6973082,5.946253035,1050.494752,3.810078488,-0.05342714,-244.97517,-40.35
"61","Slytherin","Franklyn","Horst","07/09/1998","Left",47603,-7.296096612,4.816195556,-4.376,-461.0608112,396.1842502,6.957102043,1052.097564,11.22283714,0.577443931,-250.15524,-109.25
"62","Ravenclaw","Cletus","Deluca","03/08/2001","Right",51712,3.680580936,6.503606975,3.732,684.0013534,600.3965527,4.502568065,1040.231316,5.863980862,1.715873418,-231.40627,-15.08
"63","Hufflepuff","Ismael","Novak","31/12/1999","Right",46466,8.106245511,-5.558241174,1.503,-253.7159445,349.6723587,3.310928418,1029.878115,1.097758118,0.196585127,-246.47391,32.13
"64","Hufflepuff","Eliseo","Yocum","29/07/1999","Left",46562,7.244829609,-5.508040819,3.719,-224.5899149,412.467472,3.376049877,1048.789074,5.007392261,-1.061179961,-244.81639,49.3
"65","Gryffindor","Reid","Fultz","17/03/1997","Left",15251,-5.475703374,-7.55177498,4.864,-224.5899149,572.9517399,-4.589559403,929.8365239,4.339344555,0.355478856,-254.19698,246.25
"66","Ravenclaw","Jacklyn","Whatley","04/03/1999","Left",61070,3.970843896,7.237426282,3.747,757.6762862,627.5304877,5.197933598,1054.181132,7.173698837,-1.488580506,-230.09418,-36.14
"67","Ravenclaw","Wallace","Moriarty","30/03/1997","Left",49635,4.325135761,5.463190962,3.21,351.2324188,533.516449,3.09376298,1029.555957,4.448870613,1.452092303,-233.34063,34.56
"68","Slytherin","Christal","Coy","19/06/1997","Right",62475,-6.303611375,4.688699538,-7.159,-402.285428,385.9205526,4.902653191,1047.894248,9.147159234,-1.499444779,-253.45379,-93.67
"69","Ravenclaw","Madonna","Sommers","24/12/1999","Left",43767,5.845823117,4.812864249,5.129,505.4302824,598.7905672,4.060459661,1049.648957,6.38793744,0.350178084,-230.38451,17.37
"70","Hufflepuff","Odessa","Devito","19/04/2000","Right",33681,6.247906154,-7.091647907,5.116,-476.3928794,373.3986257,2.963094615,1044.875911,5.373266128,0.41629429,-244.44179,15.48
"71","Gryffindor","Norma","Wenzel","24/07/2001","Left",44761,-5.517075544,-3.716123408,5.237,-665.9882367,567.5985872,-6.931660085,917.1725225,-1.458926104,-0.123194959,-253.78592,220.63
"72","Hufflepuff","Carson","Casas","08/10/1999","Left",69765,6.118077538,-3.132580089,5.759,-586.2800283,343.3929696,6.77835944,1062.861981,2.243678167,-0.874166406,-242.7856,-87.2
"73","Hufflepuff","Vicente","Palmer","30/07/1999","Right",50617,4.925449288,-3.704664775,6.25,-431.2466093,422.8640797,9.323600636,1039.16693,7.02275154,-0.017677577,-240.55651,-47.29
"74","Hufflepuff","Cathryn","Horn","13/03/2001","Right",42165,5.001533465,-4.377019887,3.221,-556.1046904,357.7061704,5.695178521,1059.017076,5.632306856,0.240561736,-245.09144,-20.48
"75","Gryffindor","Grant","Stewart","28/08/2001","Right",54081,4.865256638,-5.040494571,5.229,-432.6523775,376.5683923,3.096340568,1050.592593,2.104183773,-1.910701149,-245.33296,-9.98
"76","Hufflepuff","Alberto","Radford","23/09/2000","Left",45610,3.320815745,-7.698166138,4.901,-470.4141771,495.74797,2.604326549,1052.080755,5.860856304,1.11957381,-247.87531,32.1
"77","Ravenclaw","Carlotta","Irons","13/02/2001","Right",62717,4.599632528,5.691924118,4.617,418.9198193,608.5049387,4.830469551,1038.539982,5.980643174,-0.914001448,-231.88163,-9.29
"78","Ravenclaw","Ruben","Rau","19/02/2000","Left",41194,4.942883086,3.82976722,6.355,588.5528079,620.9707223,3.375345216,1060.294864,7.328740473,1.423491707,-230.19869,19.59
"79","Ravenclaw","Kraig","Friday","04/06/2000","Right",56974,5.309308949,6.841079067,4.55,615.7953506,589.9871076,5.330329108,1054.220695,5.746638241,0.301362299,-229.56493,-36.1
"80","Gryffindor","Gordon","Conyers","17/11/1996","Left",53440,-2.495270113,-4.236320346,7.318,-568.2306942,645.493298,-6.48134581,963.4132713,2.364876351,-0.863467521,-248.94517,218.48
"81","Gryffindor","Jesus","Belcher","30/04/1998","Right",34120,-6.423903729,-5.047612249,3.515,-421.4560238,619.5131987,-3.953611465,950.5142278,5.950372993,0.526342906,-253.24351,204.45
"82","Ravenclaw","Sung","Hammonds","18/09/1999","Right",26022,5.807907382,5.434545524,4.124,550.9036205,585.5518383,3.77735076,1048.615326,6.930173937,-0.614129528,-229.8689,38.01
"83","Hufflepuff","Nadia","Dunbar","06/05/1998","Right",42347,6.261645099,-4.797794279,4.183,-407.2804877,368.2862242,5.45209127,1041.465557,3.6771237,2.782511946,-243.81267,-3.17
"84","Ravenclaw","Chad","Ashworth","18/11/1997","Right",30257,4.996904707,7.900267716,1.55,97.49732086,481.5168543,5.155589932,1009.14053,2.955490832,1.256412259,-233.3145,13.41
"85","Gryffindor","Diego","Cooper","30/09/1997","Right",69869,4.650114467,6.229243083,4.367,413.9924917,582.2759884,6.110216441,1029.739271,4.72823375,1.239296676,-232.08677,-39.07
"86","Ravenclaw","Catharine","Mahan","03/05/1999","Right",38114,3.603800364,7.290208228,2.586,340.6278959,575.2868483,7.035407455,1053.091082,9.69349446,1.238628143,-230.98958,-23.75
"87","Ravenclaw","Josue","Traylor","21/04/1999","Right",13784,5.316777698,4.405642612,4.852,510.9121109,571.7722679,2.963094615,1056.698198,8.231071654,-1.310576806,-229.7355,37.46
"88","Ravenclaw","Lettie","Leblanc","18/05/2001","Left",38491,2.708038722,3.303986148,6.238,753.8783018,632.3287129,3.856046484,1077.858512,9.726924294,-1.293577628,-230.9144,-8.04
"89","Gryffindor","Flossie","Zuniga","12/08/2001","Left",73457,-5.866828699,-1.024282303,4.521,-224.5899149,575.8316245,-6.540574151,947.0154601,-1.703318598,-0.645621024,-252.91442,144.84
"90","Hufflepuff","Jacque","Oleary","17/09/2000","Right",39866,4.195120473,-4.634017111,5.112,-278.2978697,413.0750892,7.507097596,1031.127004,6.180842403,-0.353693764,-242.60069,-16.88
"91","Hufflepuff","Leila","Michaud","25/08/1999","Right",76931,1.898261529,-4.276058957,6.764,-579.2913187,408.7730053,4.464523602,1069.802264,4.258518052,0.891103011,-245.70166,-75.17
"92","Slytherin","Cara","Pape","23/03/1998","Right",78269,-7.726782018,3.387817566,-8.041,-394.1842195,388.1914521,4.27294993,1056.264641,9.514134754,-0.54891669,-257.0058,-113.12
"93","Slytherin","Sheldon","Boatman","30/03/2000","Left",65092,-5.261056842,4.504627453,-5.231,-594.3985252,395.6230194,6.112022188,1041.315943,9.20308681,-0.597280395,-251.6276,-91.86
"94","Hufflepuff","Chas","Betts","12/02/2001","Right",48568,4.76449147,-4.588530921,6.133,-732.2886763,485.7098886,5.928286927,1055.532252,9.703235565,-1.800911541,-242.1098,27.08
"95","Ravenclaw","Katy","Elliott","05/11/1999","Right",80705,8.245360765,4.802267187,4.837,381.8892561,633.6830397,4.692977602,1014.26463,3.608862353,0.232734815,-231.42808,25.36
"96","Hufflepuff","Suzanne","Turk","29/01/1997","Right",57036,6.803348486,-4.076562644,4.592,-724.3323115,367.6439108,3.72666566,1067.511165,3.388736141,-1.913023068,-244.31754,-9.73
"97","Gryffindor","Kim","Creamer","23/10/2001","Right",53269,-1.79427351,-6.747687688,7.657,-392.049104,632.7491842,-5.705872665,966.2631911,2.516735107,0.28208545,-249.75465,208.67
"98","Ravenclaw","Emile","Hudspeth","05/08/1997","Left",17277,5.501400348,4.639539718,4.819,458.7834922,552.621721,4.195597545,1049.721352,6.751898411,-0.365051224,-230.19753,31.96
"99","Hufflepuff","Bud","Park","12/10/1997","Right",62872,3.941028575,-4.694006611,4.721,-511.8506072,410.9796827,5.716358103,1053.202359,5.63517478,2.236413395,-245.24415,-34.17
"100","Ravenclaw","Marty","Seifert","30/06/2000","Right",54385,6.13525619,4.099188077,4.756,260.2588425,590.2832297,4.892617993,1035.786292,6.183686115,1.145110531,-232.34086,19.3
"101","Ravenclaw","India","Fort","05/08/1998","Right",49635,4.198710705,6.299842614,6.111,791.8522229,626.6833824,5.67876412,1030.096946,4.351715015,0.949735741,-230.50235,-96.74
"102","Hufflepuff","Delmar","Meza","04/02/2000","Left",59115,6.80277551,-5.49195316,6.223,-670.3745853,457.1362363,1.82100862,1054.208297,4.319537154,-0.99584135,-243.85146,54.49
"103","Slytherin","Nelda","Gonsalves","22/08/2000","Right",47902,-5.880774929,4.294927098,-3.99,-617.1512898,403.6097863,5.91652975,1061.343432,11.40944492,-0.108551852,-249.9104,-84.22
"104","Hufflepuff","Garry","Saul","18/05/1997","Left",50876,5.228591888,-5.336033839,4.788,-556.2059243,475.288848,5.510340402,1042.754383,8.338125962,-0.05342714,-243.71278,35.79
"105","Gryffindor","Jackie","Mcafee","07/11/1997","Right",64586,-1.975186246,-6.546957613,5.779,-876.9158252,623.6062971,-7.578273366,950.0926541,1.504863487,-0.795396366,-254.0259,249.56
"106","Ravenclaw","Vada","Stinnett","07/12/1998","Right",63604,8.129343836,7.395106987,3.168,271.4320814,570.2868002,3.662751372,1024.451864,2.315665172,-1.986756735,-231.02839,22.1
"107","Hufflepuff","Rosalind","Shank","16/12/2000","Right",62205,1.909129311,-7.065193013,8.445,-580.3712272,371.3229746,7.390881167,1068.152572,5.704590083,0.305185571,-245.39275,-96.22
"108","Gryffindor","Stanford","Valentin","14/12/1998","Left",31487,-4.958935559,-5.508467411,5.999,-153.3963256,611.8004589,-3.751780116,962.2501456,4.79144522,0.360435451,-249.83742,180.79
"109","Hufflepuff","Clark","Wentworth","01/11/2000","Left",49507,3.847927287,-5.368312195,5.155,-423.0558975,414.3598534,5.333903735,1045.753706,5.694442715,1.052241483,-244.7714,-9.66
"110","Ravenclaw","Thomas","Dowdell","11/08/2001","Left",66641,6.683087247,5.110553303,5.677,532.7372286,612.7019491,3.355560112,1042.971702,3.856106428,-0.908458961,-230.59134,4.68
"111","Ravenclaw","Pat","Parr","13/03/1999","Right",69310,5.786192912,5.370746905,5.1,434.8221305,632.6265209,4.369823084,1037.869309,5.950372993,-0.440042159,-231.2123,4.68
"112","Hufflepuff","Lola","Clemons","17/03/1999","Right",20132,3.590283155,-8.734851393,6.501,-381.9040643,406.292458,5.99783661,1038.879694,7.735451185,-0.21317558,-244.91045,29.62
"113","Slytherin","Felipe","Carvalho","25/08/1999","Left",49552,-5.990376037,5.695697018,-5.304,-498.8573434,377.3037097,6.23605178,1050.491859,9.643307354,-0.30999616,-250.0961,-101.81
"114","Hufflepuff","Burt","Mosier","12/01/2000","Right",56806,5.813453041,-2.451724058,4.309,-346.650898,367.2876332,5.954151667,1040.814007,2.066875105,-0.131348758,-242.56801,-45.23
"115","Hufflepuff","Donn","Arthur","07/05/2001","Right",29152,7.312331116,-5.722247667,2.269,-475.7199881,353.8171186,7.887353226,1041.174351,6.908700826,0.05399794,-244.19329,7.84
"116","Ravenclaw","Maryann","Russell","26/05/2000","Left",90161,2.000945049,4.937136231,5.856,449.7251155,659.860468,5.384213677,1021.12706,5.866795817,2.148637085,-233.99674,-36.78
"117","Hufflepuff","Heidi","Porterfield","14/07/1997","Right",36844,6.77859298,-4.735212949,3.067,-259.6137438,448.2952508,4.585958006,1018.510763,5.384485134,0.137406456,-243.22545,68.2
"118","Hufflepuff","Jae","Mejia","31/10/1999","Left",47506,3.806482485,-5.725181102,4.852,-359.7716695,371.5787287,6.374257237,1043.893666,4.749655841,-0.993245765,-245.33065,-37.02
"119","Ravenclaw","Blanche","Janes","26/09/1997","Left",72112,5.064504338,5.193034036,3.154,728.6183109,633.9446663,3.947956857,1045.218565,4.910926436,0.119400323,-231.04187,-19.4
"120","Slytherin","Lucas","Seaman","01/07/1999","Left",51381,-6.138778188,4.621665575,3.154,-537.3345109,397.3595771,5.14838294,1062.502436,10.42893702,0.177631198,-250.55026,-89.88
"121","Slytherin","Bruno","Lovett","17/08/2000","Left",29751,-5.867196085,5.291519322,-5.59,-227.7352461,425.8942616,3.759957073,1055.768269,10.99088134,-2.03486387,-248.90693,-40.09
"122","Ravenclaw","Augustus","Grooms","27/03/1997","Right",24923,5.200536017,5.03258339,4.364,499.7915299,577.6988471,7.595640954,1067.652424,10.87717066,1.906354267,-228.88605,-15.59
"123","Ravenclaw","Tommy","Herron","29/01/1999","Left",52313,6.501565084,2.242301948,7.602,388.9406791,611.0857231,7.992249377,1067.125385,9.957914149,0.774185725,-229.08857,-28.76
"124","Slytherin","Stefanie","Phipps","04/11/1999","Left",53297,-4.583444236,3.458208992,-6.006,-462.1366989,422.441227,3.771471879,1050.815625,10.20447826,0.88885402,-251.97899,-39.77
"125","Hufflepuff","Rhea","Currie","22/05/1998","Right",60329,5.010462617,-3.983630463,5.027,-756.7738012,376.0939754,1.571303002,1077.726048,2.925626386,0.751359315,-245.72835,-8.57
"126","Gryffindor","Modesto","Doll","12/05/1999","Right",49635,-4.102227747,-4.615154106,5.445,-554.6930593,623.8274541,-7.184556912,923.1670421,-0.858686149,-0.289524516,-253.65055,223.8
"127","Hufflepuff","Nellie","Pennell","13/10/2000","Right",36934,8.09671441,-5.584577037,2.984,-281.1669542,401.8874293,6.20357988,1021.238191,4.787034028,-0.752769199,-243.27695,41.96
"128","Slytherin","Leeann","Clayton","08/11/1998","Right",52441,-5.020184267,5.21988472,-4.942,-612.0242276,392.0132073,5.250684917,1056.438381,9.788513147,0.957232033,-250.083,-80.32
"129","Hufflepuff","Katrina","Burley","28/11/2000","Left",41759,3.527005732,-4.844948947,4.561,-465.2412491,377.4714456,8.60966229,1050.501728,7.623534189,0.094664256,-243.94563,-52.06
"130","Slytherin","Nigel","Reedy","22/02/1998","Left",60042,-6.710849793,3.446393218,-5.191,-273.396055,447.0285985,3.414097322,1048.41729,9.960919022,-0.432649747,-252.41067,-59.42
"131","Ravenclaw","Alden","Guidry","08/07/2001","Left",28327,6.56981098,4.897242166,4.156,473.3689419,602.5957702,2.387084599,1040.255068,6.196107569,-0.475720464,-230.53024,73.77
"132","Hufflepuff","Viviana","Greco","09/09/1997","Left",48634,4.445350609,-5.901220322,4.944,-666.7108785,328.3816003,6.898336343,1072.240502,5.723229029,-2.656562374,-245.74328,-63.71
"133","Hufflepuff","Jerold","Salisbury","10/04/1998","Left",61999,1.14101953,-1.109199097,4.207,-263.6249061,390.9286305,3.817593895,1037.057088,0.474596831,0.734625643,-242.48571,-31.1
"134","Hufflepuff","Sharla","Metzger","02/04/1999","Left",16894,5.625563787,-6.197477657,3.884,-394.7294467,464.3275983,4.805481196,1024.63928,8.696349605,0.522495264,-243.29676,98.67
"135","Ravenclaw","Nicholas","Hurd","15/12/1997","Left",104956,4.868061267,7.580691344,4.131,823.7143484,626.9302885,4.994733027,1038.557526,2.38804294,0.459508693,-231.62922,-84.29
"136","Hufflepuff","Delores","Desjardins","03/09/1998","Right",46759,7.008330578,-4.617018484,3.736,-637.1364878,391.1705139,3.701764885,1054.429327,5.950372993,-1.766230151,-244.42145,28.3
"137","Hufflepuff","Bob","Blackburn","06/07/2000","Left",56495,2.778615606,-4.21482457,6.142,-468.3273815,374.5127191,7.605822555,1058.247254,5.439927569,0.195538013,-243.75267,-84.19
"138","Gryffindor","Lawanda","Epstein","10/05/1998","Left",47337,-3.660394348,-6.084744157,5.837,-807.41187,578.7508242,-6.227014266,943.3181563,1.356700035,0.089992993,-253.7658,225.4
"139","Slytherin","Polly","Lofton","08/04/1998","Right",25642,-2.754092486,5.869561577,3.154,-493.5854659,422.6159764,4.101186376,1049.331979,9.807208179,-0.57184848,-245.54608,-12.45
"140","Ravenclaw","Catherine","Sweeney","12/10/1998","Left",47193,8.221351169,4.997775909,5.301,767.9034318,584.8057262,2.963094615,1079.162047,6.626474698,0.44509489,-227.47385,-24.73
